ACCEPT	確定
GUILD_MEMBER_LEVEL	等級
GUILD_MEMBER_NAME	角色
GUILD_MEMBER_RANK	職位
GUILD_MEMBER_SPECIFIC_GRAVITY	貢獻度
GUILD_METIN_STONE	寶石
GUILD_MINENAL	礦石
GUILD_MONEY	公會基金
GUILD_NAME	公會
GUILD_RESOURCE_INFO	資源資訊
GUILD_SKILL_ACTIVE	主動
GUILD_SKIlL_HEAL_GSP	龍神力恢復
GUILD_SKILL_PASSIVE	被動
GUILD_SKILL_POWER	龍神力
GUILD_SKILL_STATE	公會技能
GUILD_SYMBOL	公會會標
GUILD_WAR_ACCEPT	接受公會挑戰書
GUILD_WAR_BATTLE_TYPE	戰爭類型
GUILD_WAR_CTF	顛覆戰
GUILD_WAR_DECLARE	申請公會戰爭
GUILD_WAR_ENEMY	對方公會
GUILD_WAR_NORMAL	地盤戰
GUILD_WAR_WARP	霸王戰
GUILD_WATER	水
GUILD_WATER_STONE	浮石
GUILD_WITHDRAW	取錢
HELP_ATTACK_KEY	- 用<Space>鍵或滑鼠左鍵進行攻擊
HELP_CHANGE_PK_MODE	- 按<Ctrl> + <B> 鍵，可以轉換PK模式
HELP_CHARACTER_BUTTON1	(角色, 物品, 聊天
HELP_CHARACTER_BUTTON2	窗口)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- 滑鼠的滾輪可以隨時調整視覺焦距
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- 按住<Ctrl>鍵,可以用滑鼠右鍵調整視角
HELP_EXP	經驗值
HELP_FURY	憤怒值 (未開放)
HELP_GUILD_WINDOW	- 按－<Alt>+<G>可以打開或關閉公會視窗
HELP_HELP	- 可以按 <H>鍵或按打開系統幫助功能表將獲得幫助
HELP_HP	生命力
HELP_MESSENGER_WINDOW	- 按<Alt>+<M>可以打開或關閉聊天視窗
HELP_MOUSE_LEFT	滑鼠左鍵功能
HELP_MOUSE_RIGHT	滑鼠右鍵功能
HELP_MOVE_KEY	- 可以用 <W>, <S>, <A>, <D> 鍵和方向鍵移動
HELP_OPEN_CHARACTER	- 按 <C> 鍵，打開角色視窗
HELP_OPEN_CHAT	- 按<ENTER>鍵,打開聊天視窗
HELP_OPEN_INVENTORY	- 按<I>鍵,打開物品視窗
HELP_OPEN_LOG	- 按 <L> 鍵,可以獨立打開聊天視窗
HELP_OPEN_MINIMAP	- <Shift> + <M>鍵，打開和關閉小地圖視窗
HELP_OPEN_QUEST	- 按<N>鍵,打開任務視窗
HELP_OPEN_SKILL	- 按<V> 鍵,打開技能視窗
HELP_OPEN_WHISPER	- 按<Shift> + <ENTER> 鍵，打開密聊視窗
HELP_OPEN_ZONEMAP	- <M>鍵，可以打開和關閉整體地圖視窗
HELP_PICK_ITEM	- 按<~>鍵，拾取物品
HELP_QUICKSLOT	快顯功能表
HELP_SCREEN_CAPTURE	- 按<Print Screen>鍵,保存當前截圖,文件保存在“我的文件/METIN2檔夾裏”
HELP_SHOW_ALL_NAME	- 按住<Alt>鍵,顯示角色和地上物品名稱
HELP_SP	精神力
HELP_SYSTEM_BUTTON	系統按扭
INVENTORY_PAGE_BUTTON_TOOLTIP_1	物品窗一
INVENTORY_PAGE_BUTTON_TOOLTIP_2	物品窗二
INVENTORY_TITLE	物品窗
ITEM_MALL	Item Shop
LOAD_ERROR	資料被損壞,請從新安裝.按ESC退出
LOGIN_CONNECT	連接
LOGIN_CONNECTING	正在登錄
LOGIN_DEFAULT_SERVERADDR	大區名稱, 小組 1
LOGIN_EXIT	結束
LOGIN_REGION_TITLE	選擇大區
LOGIN_SELECT_BUTTON	選擇
LOGIN_SELECT_EXIT	終止
LOGIN_SELECT_OK	確認
LOGIN_SELECT_TITLE	選擇伺服器
MALL_PASSWORD_TITLE	密碼
MALL_TITLE	購物店倉庫
MARKET_TITLE	市場
MARKLIST_REFRESH	更新
MARKLIST_TITLE	上載公會會徽
MESSAGE	信息
MESSENGER_ADD_FRIEND	添加朋友
MESSENGER_DELETE_FRIEND	刪除朋友
MESSENGER_MOBILE	發短信
MESSENGER_OPEN_GUILD	打開公會視窗
MESSENGER_TITLE	信息
MESSENGER_USE_GUILD_MOVE_SKILL	使用公會移動技能
MESSENGER_WHISPER	悄悄話
MINIMIZE	最小化
MOUSEBUTTON_ATTACK	攻擊
MOUSEBUTTON_AUTO_ATTACK	自動
MOUSEBUTTON_CAMERA	視角
MOUSEBUTTON_SKILL	技能
MUSICLIST_TITLE	背景音樂目錄
NO	否
OK	確認
OPTION_ALWAYS_SHOW_NAME	查看名稱
OPTION_ALWAYS_SHOW_NAME_OFF	一時
OPTION_ALWAYS_SHOW_NAME_ON	一直
OPTION_BLOCK	切斷
OPTION_BLOCK_EXCHANGE	交換
OPTION_BLOCK_FRIEND	好友
OPTION_BLOCK_GUILD	公會
OPTION_BLOCK_PARTY	組隊邀請
OPTION_BLOCK_PARTY_REQUEST	申請組隊
OPTION_BLOCK_WHISPER	私聊
OPTION_CAMERA_DISTANCE	視角
OPTION_CAMERA_DISTANCE_LONG	遠視角
OPTION_CAMERA_DISTANCE_SHORT	近視角
OPTION_DELETE_MOBILE_BUTTON	刪除號碼
OPTION_EFFECT	傷害值
OPTION_FOG	霧設定
OPTION_FOG_DENSE	濃霧
OPTION_FOG_LIGHT	淡霧
OPTION_FOG_MIDDLE	普通
OPTION_INPUT_MOBILE_BUTTON	輸入號碼
OPTION_MOBILE	手機
OPTION_MUSIC	音樂
OPTION_MUSIC_CHANGE	設定音樂
OPTION_MUSIC_DEFAULT_THEMA	倚天II默認背景音樂
OPTION_NAME_COLOR	名稱顏色
OPTION_NAME_COLOR_EMPIRE	帝國顏色
OPTION_NAME_COLOR_NORMAL	默認顏色
OPTION_PVPMODE	PvP 模式
OPTION_PVPMODE_FREE	自由
OPTION_PVPMODE_FREE_TOOLTIP	可以主動攻擊所有玩家
OPTION_PVPMODE_GUILD	公會
OPTION_PVPMODE_GUILD_TOOLTIP	可以攻擊本公會成員以外的所有玩家
OPTION_PVPMODE_PEACE	和平
OPTION_PVPMODE_PEACE_TOOLTIP	不能主動攻擊所有玩家(可以反擊)
OPTION_PVPMODE_REVENGE	善惡
OPTION_PVPMODE_REVENGE_TOOLTIP	可以主動攻擊一部分玩家
OPTION_SOUND	聲效
OPTION_TARGET_BOARD	他國信息
OPTION_TARGET_BOARD_NO_VIEW	不感興趣
OPTION_TARGET_BOARD_VIEW	想知道
OPTION_TILING	顯示
OPTION_TILING_APPLY	應用
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	選項
OPTION_VIEW_CHAT	聊天窗口
OPTION_VIEW_CHAT_OFF	遮罩
OPTION_VIEW_CHAT_ON	查看
PARTY_MEMBER_INFO_NAME	公會會員名稱
PASSWORD_TITLE	倉庫密碼
PICK_MONEY_TITLE	要拿出的金額
PRIVATE_SHOP_CLOSE_BUTTON	關閉
PRIVATE_SHOP_NAME	商店名稱
PRIVATE_SHOP_TITLE	開設個人商店
REFINE_COST	升級費用 : 0兩
REFINE_INFO	改良成功概率 : 100%
REFINE_TTILE	改良
RESTART_HERE	原地復活
RESTART_TOWN	村落復活
SAFE_CHANGE_PASSWORD	更改密碼
SAFE_TITLE	倉庫
SELECT_ATT_GRADE	力量
SELECT_CREATE	創造角色
SELECT_DELETE	刪除
SELECT_DEX_GRADE	敏捷
SELECT_EMPIRE_NAME	國家名稱
SELECT_EXIT	退出
SELECT_HP	體力
SELECT_LEVEL	等級
SELECT_METIN_STONE_TITLE	選擇使用的寶石
SELECT_NAME	角色
SELECT_NO_GUILD	沒有加入任何公會
SELECT_PLAYTIME	遊戲時間
SELECT_SELECT	開始
SELECT_SP	智力
SELECT_TITLE	尊號
SHOP_BUY	買進
SHOP_SELL	賣出
SHOP_TITLE	商店
SKILL_SUPPORT_TITLE	輔助
SYSTEMOPTION_TITLE	系統設置
SYSTEM_CHANGE	轉換角色
SYSTEM_EXIT	退出到windows
SYSTEM_HELP	說明
SYSTEM_LOGOUT	登出
SYSTEM_MALL	購物店商店
SYSTEM_OPTION	系統設置
TASKBAR_CHARACTER	角色[C/V/B/N]
TASKBAR_CHAT	聊天窗口
TASKBAR_INVENTORY	物品[I]
TASKBAR_MESSENGER	信息
TASKBAR_NEXT_QUICKSLOT	後 快顯功能表[shift+數字, alt]
TASKBAR_PREV_QUICKSLOT	前 快顯功能表[shift+數字]
TASKBAR_SYSTEM	系統[ESC]
WHISPER_BAN	切斷
WHISPER_NAME	對方名稱
WHISPER_SEND	發送
YES	是
ZONE_MAP	整體地圖
