ACCEPT	確定
GUILD_DROP_RESOURCE2	落としてください。
GUILD_GEM	宝石
GUILD_GRADE_CHANGE_GRADE_NAME	変更する職位名
GUILD_GRADE_NUM	等級
GUILD_GRADE_PERMISSION_DELETE	追放権限
GUILD_GRADE_PERMISSION_JOIN	加入権限
GUILD_GRADE_PERMISSION_NOTICE	告知権限
GUILD_GRADE_PERMISSION_SKILL	スキル権限
GUILD_GRADE_RANK	職位
GUILD_GRADE_WRITE	書き込み
GUILD_INFO	ギルド基本情報
GUILD_INFO_CUR_EXP	現在経験値
GUILD_INFO_DECALRE_WAR	宣戦布告
GUILD_INFO_ENEMY_GUILD	戦争中のギルド
GUILD_INFO_ENEMY_GUILD_EMPTY	なし
GUILD_INFO_LEVEL	レベル
GUILD_INFO_MARK	ギルドマーク
GUILD_INFO_MASTER	マスター
GUILD_INFO_MASTER_VALUE	マスター
GUILD_INFO_MEMBER_AVG_LEVEL	ギルド平均レベル
GUILD_INFO_MEMBER_NUM	メンバー数
GUILD_INFO_NAME	ギルド名
GUILD_INFO_NAME_VALUE	ギルド名です
GUILD_INFO_OFFER_EXP	投資
GUILD_INFO_REST_EXP	残り経験値
GUILD_INFO_UPLOAD_MARK	マーク登録
GUILD_INFO_UPLOAD_SYMBOL	徽章登録
GUILD_MARK	ギルドマーク
GUILD_MEMBER_JOB	職業
GUILD_MEMBER_KNIGHT	将帥
GUILD_MEMBER_LEVEL	レベル
GUILD_MEMBER_NAME	名前
GUILD_MEMBER_RANK	職位
GUILD_MEMBER_SPECIFIC_GRAVITY	貢献度
GUILD_METIN_STONE	霊石
GUILD_MINENAL	鉱石
GUILD_MONEY	ギルド資金
GUILD_NAME	ギルド
GUILD_RESOURCE_INFO	資源情報
GUILD_SKILL_ACTIVE	ACTIVE
GUILD_SKILL_PASSIVE	PASSIVE
GUILD_SKILL_POWER	竜神力
GUILD_SKILL_STATE	ギルドにかかっているスキル
GUILD_SKIlL_HEAL_GSP	竜神力回復
GUILD_SYMBOL	ギルド徽章
GUILD_WAR_ACCEPT	ギルド戦承諾
GUILD_WAR_BATTLE_TYPE	戦闘方式
GUILD_WAR_CTF	守護
GUILD_WAR_DECLARE	ギルド戦申請
GUILD_WAR_ENEMY	ギルド名
GUILD_WAR_NORMAL	覇王
GUILD_WAR_WARP	猛将
GUILD_WATER	水
GUILD_WATER_STONE	水石
GUILD_WITHDRAW	出金
HELP_ATTACK_KEY	-<Space>または、マウスを左クリックすると攻撃できます。
HELP_CHANGE_PK_MODE	-<Ctrl>+<B>を押すとPKモードに切り替えられます。
HELP_CHARACTER_BUTTON1	(キャラクター、インベントリ、
HELP_CHARACTER_BUTTON2	チャットウィンドウを開きます)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	マウス中央のホイールボタンでもカメラ操作ができます。
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	-<Ctrl>+マウス右ボタンを押しながら、マウスを動かすとカメラを操作できます。
HELP_EXP	経験値
HELP_FURY	熱血ゲージ(未実装)
HELP_GUILD_WINDOW	-<Alt>+<G>キーを押すとギルドウィンドウを開閉できます。
HELP_HELP	-ヘルプは<H>を押すか、システムメニューから見ることができます。
HELP_HP	生命力
HELP_MESSENGER_WINDOW	-<Alt>+<M>キーを押すとメッセンジャーウィンドウを開閉できます。
HELP_MOUSE_LEFT	マウス左ボタンの機能
HELP_MOUSE_RIGHT	マウス右ボタンの機能
HELP_MOVE_KEY	-<W>,<S>,<A>,<D>と方向キーで移動できます。
HELP_OPEN_CHARACTER	-<C>を押すとキャラクターウィンドウが開きます。
HELP_OPEN_CHAT	-<Enter>を押すとチャットウィンドウが開きます。
HELP_OPEN_INVENTORY	-<I>を押すとインベントリウィンドウが開きます。
HELP_OPEN_LOG	-<L>を押すと過去のログをみることができます。
HELP_OPEN_MINIMAP	-<Shift>+<M>を押すとミニマップウィンドウを開きます。
HELP_OPEN_QUEST	-<N>を押すとクエストウィンドウが開きます。
HELP_OPEN_SKILL	-<V>を押すとスキルウィンドウが開きます。
HELP_OPEN_WHISPER	-<Shift>+<Enter>を押すと手紙のウィンドウが開きます。
HELP_OPEN_ZONEMAP	-<M>を押すと全体マップウィンドウを開きます。
HELP_PICK_ITEM	-<Z>を押すと落ちているアイテムを拾うことができます。
HELP_QUICKSLOT	クイックスロット
HELP_SCREEN_CAPTURE	-<PrintScreen>キーを押すとスクリーンショットがマイドキュメント/METIN2に保存されます。
HELP_SHOW_ALL_NAME	-<Alt>を押すとすべてのキャラクターとアイテムの名前が表示されます。
HELP_SP	精神力
HELP_SYSTEM_BUTTON	システムボタン
INVENTORY_PAGE_BUTTON_TOOLTIP_1	最初のインベントリ
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2番目のインベントリ
INVENTORY_TITLE	インベントリ
LOAD_ERROR	データーファイルが途切れました。再設置が必要なためESCキーを押してください。
LOGIN_CONNECT	接続
LOGIN_CONNECTING	サーバーに接続中です。
LOGIN_DEFAULT_SERVERADDR	サーバー名,チャンネル1
LOGIN_EXIT	終了
LOGIN_REGION_TITLE	決済方法選択
LOGIN_SELECT_BUTTON	選択
LOGIN_SELECT_EXIT	終了
LOGIN_SELECT_OK	確認
LOGIN_SELECT_TITLE	サーバー選択
MALL_PASSWORD_TITLE	パスワード
MALL_TITLE	アイテムモール倉庫
MARKET_TITLE	市場
MARKLIST_REFRESH	更新
MARKLIST_TITLE	ギルドマーク登録
MESSAGE	メッセ－ジです。
MESSENGER_ADD_FRIEND	友達追加
MESSENGER_DELETE_FRIEND	友達削除
MESSENGER_MOBILE	メッセージを送る。
MESSENGER_OPEN_GUILD	ギルドウィンドウを開く
MESSENGER_TITLE	メッセンジャー
MESSENGER_USE_GUILD_MOVE_SKILL	ギルド移動スキルを使用
MESSENGER_WHISPER	WIS
MINIMIZE	最小化
MOUSEBUTTON_ATTACK	攻撃
MOUSEBUTTON_AUTO_ATTACK	自動
MOUSEBUTTON_CAMERA	カメラ
MOUSEBUTTON_SKILL	スキル
MUSICLIST_TITLE	背景音楽リスト
NO	NO
OK	OK
OPTION_ALWAYS_SHOW_NAME	チャット
OPTION_ALWAYS_SHOW_NAME_OFF	一時
OPTION_ALWAYS_SHOW_NAME_ON	常時
OPTION_BLOCK	拒否
OPTION_BLOCK_EXCHANGE	交換
OPTION_BLOCK_FRIEND	友達
OPTION_BLOCK_GUILD	ギルド
OPTION_BLOCK_PARTY	PTへ招待
OPTION_BLOCK_PARTY_REQUEST	PTに加入
OPTION_BLOCK_WHISPER	手紙
OPTION_CAMERA_DISTANCE	カメラ
OPTION_CAMERA_DISTANCE_LONG	長距離
OPTION_CAMERA_DISTANCE_SHORT	短距離
OPTION_DELETE_MOBILE_BUTTON	番号を消す
OPTION_EFFECT	ダメージ値
OPTION_FOG	霧
OPTION_FOG_DENSE	濃い
OPTION_FOG_LIGHT	薄い
OPTION_FOG_MIDDLE	普通
OPTION_INPUT_MOBILE_BUTTON	番号入力
OPTION_MOBILE	携帯電話
OPTION_MUSIC	背景音
OPTION_MUSIC_CHANGE	変更
OPTION_MUSIC_DEFAULT_THEMA	メティン2メインテーマ
OPTION_NAME_COLOR	名前の色
OPTION_NAME_COLOR_EMPIRE	諸国の色
OPTION_NAME_COLOR_NORMAL	一般の色
OPTION_PVPMODE	PvPモード
OPTION_PVPMODE_FREE	自由
OPTION_PVPMODE_FREE_TOOLTIP	すべてのプレイヤーに攻撃できます。
OPTION_PVPMODE_GUILD	ギルド
OPTION_PVPMODE_GUILD_TOOLTIP	ギルドメンバーを除いたすべてのプレイヤーに攻撃できます。
OPTION_PVPMODE_PEACE	平和
OPTION_PVPMODE_PEACE_TOOLTIP	いかなるプレイヤーに対しても先に攻撃はしません。(反撃は可能)
OPTION_PVPMODE_REVENGE	膺懲
OPTION_PVPMODE_REVENGE_TOOLTIP	敵対プレイヤーだけに攻撃できます。
OPTION_SOUND	効果音
OPTION_TARGET_BOARD	ﾎﾞｰﾄﾞﾒﾆｭｰ
OPTION_TARGET_BOARD_NO_VIEW	見ない
OPTION_TARGET_BOARD_VIEW	見る
OPTION_TILING	TILING
OPTION_TILING_APPLY	適用
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	オプション
OPTION_VIEW_CHAT	チャットウィンドウ
OPTION_VIEW_CHAT_OFF	見ない
OPTION_VIEW_CHAT_ON	見る
OPTION_SHADOW	影品質
PARTY_MEMBER_INFO_NAME	パーティメンバー名
PASSWORD_TITLE	倉庫パスワード
PICK_MONEY_TITLE	拾った金額
PRIVATE_SHOP_CLOSE_BUTTON	閉店
PRIVATE_SHOP_NAME	商店名
PRIVATE_SHOP_TITLE	個人商店の設置
REFINE_COST	改良費用:0両
REFINE_INFO	改良成功の確率:100%
REFINE_TTILE	改良
RESTART_HERE	この場で再スタート
RESTART_TOWN	チェックポイントから再スタート
SAFE_CHANGE_PASSWORD	パスワード変更
SAFE_TITLE	倉庫
SELECT_ATT_GRADE	筋力
SELECT_CREATE	作成
SELECT_DELETE	削除
SELECT_DEX_GRADE	敏捷
SELECT_EMPIRE_NAME	国名
SELECT_EXIT	ログアウト
SELECT_HP	体力
SELECT_LEVEL	レベル
SELECT_METIN_STONE_TITLE	使う霊石選択
SELECT_NAME	名前
SELECT_NO_GUILD	所属するギルドがない。
SELECT_PLAYTIME	プレイ時間
SELECT_SELECT	スタ－ト
SELECT_SP	知力
SELECT_TITLE	呼称
SHOP_BUY	購入
SHOP_SELL	売却
SHOP_TITLE	商店
SKILL_SUPPORT_TITLE	補助
SYSTEMOPTION_TITLE	システムオプション
SYSTEM_CHANGE	キャラクター変更
SYSTEM_EXIT	ゲーム終了
SYSTEM_HELP	ヘルプ
SYSTEM_LOGOUT	ログアウト
SYSTEM_MALL	アイテムモール
SYSTEM_OPTION	システムの設定
TASKBAR_CHARACTER	キャラクター[C/V/B/N]
TASKBAR_CHAT	チャットウィンドウ
TASKBAR_INVENTORY	インベントリ[I]
TASKBAR_MESSENGER	メッセンジャー
TASKBAR_NEXT_QUICKSLOT	後ろのクイックスロット[shift+番号,alt]
TASKBAR_PREV_QUICKSLOT	前のクイックスロット[shift+番号]
TASKBAR_SYSTEM	システム[ESC]
WHISPER_BAN	拒否
WHISPER_NAME	会話する相手の名前
WHISPER_SEND	送る
WHISPER_REPORT	申告
YES	はい
ZONE_MAP	全体地図
GUILD_BUILDING_PRICE	建設費
GUILD_BUILDING_STONE	礎石
GUILD_BUILDING_LOG	丸太
GUILD_BUILDING_PLY	合板
CUBE_TITLE	製造ウィンドウ
CREATE_SEX	性別
CREATE_MAN	男性
CREATE_WOMAN	女性
REPORT_VIOLENT_WHISPER	迷惑会話申告
PASSWORD_DESC_1	倉庫を開くための
PASSWORD_DESC_2	パスワードを入力してください。
COSTUME_WINDOW_TITLE	コスチューム
OPTION_SALESTEXT	Shop
OPTION_SALESTEXT_VIEW_ON	Display
OPTION_SALESTEXT_VIEW_OFF	Hide	
DRAGONSOUL_TITLE	??? ?
DRAGONSOUL_PAGE_BUTTON_1	??
DRAGONSOUL_PAGE_BUTTON_2	??
DRAGONSOUL_PAGE_BUTTON_3	??
DRAGONSOUL_PAGE_BUTTON_4	??
DRAGONSOUL_PAGE_BUTTON_5	??
DRAGONSOUL_ACTIVATE	???
DRAGONSOUL_REFINE_WINDOW_TITLE	??? ?? ? ??
DRAGONSOUL_TAP_TITLE_1	???(White Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_2	???(Fire Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_3	???(Wind Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_4	???(Iron Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_5	???(Thunder Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_6	???(Dark Dragon Soul Stone)
REFINE_SELECT	?? ??
REFINE_MONEY	?? ??
DO_REFINE	?? ??
GRADE	??
STEP	??
STRENGTH	??
GRADE_SELECT	?? ??
STEP_SELECT	?? ??
STRENGTH_SELECT	?? ??
TASKBAR_EXPAND	???
TASKBAR_DRAGON_SOUL	???
TASKBAR_DISABLE	????
CUBE_REQUIRE_MATERIAL_OR	??
